id,subject,topic_code,topic_name,question,optionA,optionB,optionC,optionD,answer,explanation,difficulty,tags
L11101-Q043,L11,L11101,AI的定義與分類,若 AI 系統能同時聽懂指令並執行家電控制，屬於哪種智能整合？,多模態智能,單模態感知,脫機推理,強符號 AI,A,多模態整合語音、視覺、動作等多種訊號。,2,"[""多模態""]"
L11101-Q044,L11,L11101,AI的定義與分類,CRISP?DM 與 AI 定義關係最接近於？,定義 AI 智能層次,描述 AI 專案之資料挖掘流程,量化 AI 性能,比較 AI 模型大小,B,CRISP-DM 用於資料科學/AI 專案流程框架。,2,"[""CRISP-DM""]"
L11101-Q045,L11,L11101,AI的定義與分類,若用『AI 三角形』說明 AI 要件，下列不是其中之一？,演算法,資料,運算力,使用者介面,D,UI 為應用層議題，非 AI 基本要素。,2,"[""三要素""]"
L11101-Q046,L11,L11101,AI的定義與分類,一家公司宣稱其聊天機器人已達『一般人工智慧（AGI）』水準，以下哪一組測試最具說服力地驗證此宣稱？,能夠自動編寫 SQL 查詢,單一語料庫精確率提升到 99%,通過單次圖靈測試,多領域問答、跨模態推理、未知任務即時學習表現,D,AGI 應展現跨領域、即時適應與綜合推理能力，而非單一指標。,3,"[""驗證"", ""AGI""]"
L11101-Q047,L11,L11101,AI的定義與分類,『中國房間（Chinese Room）』思想實驗挑戰 AI 的哪項特性？,記憶容量,運算速度,理解與意識,能源效率,C,約翰‧希爾勒以中國房間質疑語言操縱≠真正理解。,3,"[""哲學"", ""中國房間""]"
L11101-Q048,L11,L11101,AI的定義與分類,以下哪一個現象最能說明『符號接地（Symbol Grounding）』問題？,深度網路梯度消失,GPU 計算誤差,語言模型可生成語句但缺乏對現實世界真實對應,資料庫鎖死,C,未與感官經驗連結的符號無法真正承載意義。,3,"[""符號接地""]"
L11101-Q049,L11,L11101,AI的定義與分類,若深度網路在訓練資料外表現極差，除了過擬合外，還可能因為？,GPU 時脈過高,模型容量不足,資料分佈轉移（Distribution Shift）,資料標籤錯誤率為 0,C,分佈轉移導致模型無法泛化至新樣本。,3,"[""分佈轉移""]"
L11101-Q050,L11,L11101,AI的定義與分類,以下哪種指標最適合用來量化語言模型的『語義一致性』？,AUC,FLOPS,MSE,BERTScore,D,BERTScore 透過語義嵌入衡量句意相似度。,3,"[""評估"", ""語義""]"
L11101-Q051,L11,L11101,AI的定義與分類,『Moravec 悖論』對 AI 發展的啟示為何？,AI 無法下棋,人類感覺運動技能難以自動化，而邏輯推理反較易,AI 必須模擬人腦結構,法律限制 AI 發展,B,感知運動需要龐雜隱含計算，突顯人類直覺難度。,3,"[""Moravec"", ""悖論""]"
L11101-Q052,L11,L11101,AI的定義與分類,若要設計可同時處理語音、文本與影像的 AI 模型，首要挑戰是？,對齊不同模態的表徵空間（Alignment）,增加硬碟容量,降低螢幕亮度,改用 UDP 協定,A,跨模態對齊確保語音與影像在同一語意向量空間。,3,"[""多模態"", ""對齊""]"
L11101-Q053,L11,L11101,AI的定義與分類,將 AI 技能分級為『自動化』、『增強』與『自主』三層，完全無需人類介入決策的層級稱為？,自主層,自動化層,增強層,互動層,A,自主層指出 AI 完全負責決策與行動。,3,"[""技能層次""]"
L11101-Q054,L11,L11101,AI的定義與分類,下列哪種學派主張 AI 不需要符號推理即可達成智能？,符號主義,連接主義,計算主義,物理符號系統假說,B,連接主義依賴分散連結權重，不強調顯式符號。,3,"[""學派""]"
L11101-Q055,L11,L11101,AI的定義與分類,DeepMind 提出的『Gato』模型旨在展示？,最低功耗的 RNN,最快的 CNN 推斷速度,單一模型可在多任務多模態間泛化,最大參數量,C,Gato 證明 transformers 可多領域跨任務。,3,"[""Gato"", ""泛化""]"
L11101-Q056,L11,L11101,AI的定義與分類,如果 AI 系統能在新任務上僅看少量樣本即學會，則此能力被稱為？,強化學習,少樣本學習（Few?shot Learning）,聚類分析,零知識證明,B,Few-shot 能從極少數範例泛化。,3,"[""Few-shot""]"
L11101-Q057,L11,L11101,AI的定義與分類,『物理符號系統假說』認為______是具備一般智能的必要且充分條件。,操作符號的物理系統,深度神經網路,進化機制,量子計算,A,Newell & Simon 的假說強調符號操作重要性。,3,"[""哲學"", ""符號系統""]"
L11101-Q058,L11,L11101,AI的定義與分類,假設一語言模型產生帶偏見內容，最有效的源頭緩解方法是？,刪除使用者,在訓練資料階段進行去偏（Debiasing）,增加 GPU 算力,降低學習率,B,資料層面處理才能根本減少偏見。,3,"[""倫理"", ""偏見""]"
L11101-Q059,L11,L11101,AI的定義與分類,AI 安全領域提到的『值對齊（Value Alignment）』問題主要關注？,確保 AI 行為符合人類價值,提高模型計算速度,限制記憶體使用,增加數據集體量,A,值對齊避免 AI 偏離社會與道德期望。,3,"[""AI 安全"", ""Alignment""]"
L11101-Q060,L11,L11101,AI的定義與分類,若 AI 模型能夠自行產生新目標並學習達成，代表達到了哪種學習等級？,自主目標生成（Self?motivated Learning）,監督學習,K-Means 分群,ELM,A,自主動機學習為更高階智能特徵。,3,"[""學習階段""]"
L11101-Q061,L11,L11101,AI的定義與分類,以下哪一種框架用來量化 AI 系統對人類造成的潛在危害與受益？,ROC 曲線,AI 風險?效益分析矩陣,A/B 測試,梯度檢查,B,風險+效益矩陣協助政策制定。,3,"[""風險"", ""評估""]"
L11101-Q062,L11,L11101,AI的定義與分類,在討論超人工智慧（ASI）時，『控制問題（Control Problem）』指？,控制記憶體使用率,如何提高控制器溫度,如何控制模型大小,如何確保遠超人類智能的 AI 仍可被安全管控,D,ASI 若不受控可能帶來存在性風險。,3,"[""ASI"", ""控制問題""]"
L11101-Q063,L11,L11101,AI的定義與分類,以下哪一個論證支持「大腦即計算」的觀點？,計算主義（Computationalism）,行動本體論,唯名論,心靈?身體二元論,A,計算主義主張心智等同於數位計算過程。,3,"[""哲學"", ""計算主義""]"
L11101-Q064,L11,L11101,AI的定義與分類,對比『黑盒模型』，若模型結構與權重可被完全觀察並解釋，稱為？,白盒模型,灰盒模型,藍盒模型,隱盒模型,A,白盒模型具可解釋透明性。,3,"[""可解釋性""]"
L11101-Q065,L11,L11101,AI的定義與分類,在 AI 系統設計中，『符號?連接混合架構』的潛在優勢是？,完全避免訓練資料,兼具邏輯推理與感知學習優點,不需要硬體加速,模型參數固定不變,B,混合 AI 可整合解釋性與資料驅動特性。,3,"[""混合架構""]"
L11101-Q066,L11,L11101,AI的定義與分類,若 AI 系統能針對未來隨機事件進行策略規劃，最接近哪種智能？,被動反應智能,感知智能,機械智能,預測與規劃智能,D,高階智能包括長期規劃能力。,3,"[""預測"", ""規劃""]"
L11101-Q067,L11,L11101,AI的定義與分類,要驗證 AI 是否具備『意識（Consciousness）』，目前面臨的最大科學挑戰是？,缺乏客觀可測指標,GPU 不足,記憶體不足,缺少開源框架,A,意識屬主觀經驗，難以量化測量。,3,"[""心靈哲學"", ""意識""]"
L11102-Q001,L11,L11102,AI治理概念,AI 治理（AI Governance）的核心目標是確保 AI 系統 ________。,運算速度最快,安全可靠且符合法規,成本最低,能自我複製,B,AI 治理聚焦安全、可靠、符合倫理與法規。,1,"[""AI治理"", ""目標""]"
L11102-Q002,L11,L11102,AI治理概念,在 OECD 的 AI 原則中，要求 AI 系統應『以人為本』，這主要關注______。,提高 GPU 效率,尊重人權與福祉,降低網路延遲,增加行銷點擊率,B,Human?Centric 強調尊重基本權利與福祉。,1,"[""OECD"", ""Human-Centric""]"
L11102-Q003,L11,L11102,AI治理概念,以下哪一項屬於 AI 治理框架常見的主題？,像素渲染,可解釋性（Explainability）,資料壓縮演算法,視訊播放器,B,Explainability 是治理重點之一。,1,"[""可解釋性"", ""框架""]"
L11102-Q004,L11,L11102,AI治理概念,要確保 AI 決策可追溯，一般需要保存______。,螢幕分辨率,空調溫度,鍵盤佈局,模型版本與日誌,D,保存日誌與版本可進行事後審計。,1,"[""追溯性""]"
L11102-Q005,L11,L11102,AI治理概念,以下哪個組織發布了『可信賴 AI（Trustworthy AI）』指南？,歐盟（EU）,世貿組織,國際奧委會,NASA,A,EU HLEG 發布可信賴 AI 指南 (2019)。,1,"[""EU"", ""Trustworthy""]"
L11102-Q006,L11,L11102,AI治理概念,資料最小化（Data Minimization）原則旨在______。,僅蒐集必要資料,增加資料維度,重複儲存備份,刪除所有元資料,A,GDPR 強調只收集達成目的所需資料。,1,"[""資料最小化""]"
L11102-Q007,L11,L11102,AI治理概念,AI 偏見（Bias）最常源自於______。,螢幕閃爍,電池老化,訓練資料不平衡,CSS 樣式錯誤,C,資料偏差導致模型偏見。,1,"[""偏見"", ""資料""]"
L11102-Q008,L11,L11102,AI治理概念,以下哪一項屬於『負責任 AI（Responsible AI）』的實踐？,禁止外部審查,隱藏演算法準則,對外公開模型使用限制,忽略使用者投訴,C,透明度與責任歸屬是負責任 AI 關鍵。,1,"[""Responsible AI""]"
L11102-Q009,L11,L11102,AI治理概念,確保 AI 系統保護個人隱私的技術不包括______。,資料去識別化,同態加密,螢幕保護程式,差分隱私,C,前三者均為隱私保護技術。,1,"[""隱私"", ""技術""]"
L11102-Q010,L11,L11102,AI治理概念,AI 治理的『問責制（Accountability）』要求______。,有人對錯誤負責並可追究,增加硬體 RAM,刪除日誌,使用者匿名,A,問責制確保責任可追溯。,1,"[""問責制""]"
L11102-Q011,L11,L11102,AI治理概念,在 AI 專案中設置『AI Ethics Board』的主要目的是？,監督倫理風險,優化 SQL 查詢,減少 API 呼叫,設定螢幕亮度,A,倫理委員會負責識別及緩解風險。,1,"[""倫理委員會""]"
L11102-Q012,L11,L11102,AI治理概念,透明度（Transparency）在 AI 治理中特指？,網頁背景透明,顯示器通透度,揭露模型與資料使用方式,降低顏色飽和度,C,透明度讓利害關係人了解 AI 系統。,1,"[""透明度""]"
L11102-Q013,L11,L11102,AI治理概念,以下哪一項屬於『資料治理（Data Governance）』範疇？,滑鼠靈敏度,編輯器字體設定,按鈕配色,資料品質管理,D,資料品質、主數據管理均屬資料治理。,1,"[""資料治理""]"
L11102-Q014,L11,L11102,AI治理概念,如果 AI 系統違反 GDPR，監管機構可處以的罰款上限通常以什麼為基準？,模型大小,固定 1 萬歐元,GPU 數量,全球營收百分比,D,"GDPR 可罰 4% 全球年營收或 2,000 萬歐元。",1,"[""GDPR"", ""罰款""]"
L11102-Q015,L11,L11102,AI治理概念,AI 治理常提到的『三道防線』第一道通常是______。,業務部門自我檢核,外部審計,監管機構,使用者社群,A,第一道防線為業務單位風險自管。,1,"[""三道防線""]"
L11102-Q016,L11,L11102,AI治理概念,在 AI 治理流程中，『風險評估』應於何時進行？,整個生命週期都要進行,僅在模型訓練後,僅在上線前,僅在報廢時,A,持續性評估才能動態管控風險。,1,"[""風險評估""]"
L11102-Q017,L11,L11102,AI治理概念,歐盟 AI Act 根據風險將系統分為禁止、高風險、______、最低風險。,臨界風險,無風險,極高風險,有限風險,D,"四級：Prohibited, High, Limited, Minimal。",1,"[""EU AI Act""]"
L11102-Q018,L11,L11102,AI治理概念,下列哪項做法有助於提升 AI 模型的公平性（Fairness）？,增加層數,移除日誌,降低解析度,重新取樣平衡資料,D,平衡資料可降低偏見。,1,"[""公平性""]"
L11102-Q019,L11,L11102,AI治理概念,大多數 AI 治理框架均強調『人類監督（Human Oversight）』，是為了？,提高記憶體,保留最終決策權,壓縮圖片,縮短網路線,B,確保人類能介入修正不當行為。,1,"[""Human Oversight""]"
L11102-Q020,L11,L11102,AI治理概念,在 AI 透明度報告中，通常不需要披露？,使用者螢幕尺寸,演算法來源與版本,資料類型,模型限制,A,螢幕尺寸與模型無關。,1,"[""報告"", ""透明度""]"
L11102-Q021,L11,L11102,AI治理概念,AI 治理框架常見的 PDCA 循環，C 代表？,Create,Check,Cancel,Compute,B,PDCA: Plan?Do?Check?Act。,1,"[""PDCA""]"
L11102-Q022,L11,L11102,AI治理概念,『Explainable AI (XAI)』的目標不包括？,提高模型神祕感,增進使用者信任,支援法規合規,協助 debug,A,XAI 旨在解釋，而非增加神祕。,1,"[""XAI""]"
L11102-Q023,L11,L11102,AI治理概念,ISO/IEC 42001 標準主要針對何項 AI 治理議題？,使用者介面設計,視覺辨識精度,硬體電源管理,AI 管理系統框架,D,ISO/IEC 42001 提供 AI 管理系統要求與指引。,2,"[""ISO"", ""AI MS""]"
L11102-Q024,L11,L11102,AI治理概念,在 NIST AI 風險管理框架 (RMF) 中，用於『評估』風險的核心功能是哪一個？,Map,Govern,Measure,Manage,C,"RMF 包含 Map, Measure, Manage, Govern 四功能。",2,"[""NIST"", ""RMF""]"
L11102-Q025,L11,L11102,AI治理概念,以下哪種方法可用於?明判斷模型輸出對輸入特徵的敏感度，以支持可解釋性？,SHAP 值,Dropout,BatchNorm,Data Augmentation,A,SHAP 屬解釋方法，衡量特徵貢獻度。,2,"[""SHAP"", ""Explainability""]"
L11102-Q026,L11,L11102,AI治理概念,歐盟 AI Act 對高風險系統要求『CE 標誌』以示 ______。,價格合理,符合安全與治理要求,開源授權,低電量消耗,B,CE 標示產品符合歐盟法規標準。,2,"[""CE"", ""合規""]"
L11102-Q027,L11,L11102,AI治理概念,差分隱私 (Differential Privacy) 主要透過加入 ______ 來保護個資。,隨機雜訊,壓縮算法,加速指令,高斯模糊影像,A,加入噪聲保護單筆資料不可識別。,2,"[""Differential Privacy""]"
L11102-Q028,L11,L11102,AI治理概念,如果模型出現『概念漂移 (Concept Drift)』，最需要的治理動作為？,關閉 WiFi,增加散熱片,改變字體,重新訓練或調整模型,D,漂移導致表現下降需模型更新。,2,"[""概念漂移""]"
L11102-Q029,L11,L11102,AI治理概念,AI 倫理原則中的『正義 (Justice)』常被量化為 ______ 指標。,記憶體耗用,FLOPS,均衡錯誤率 (Equalized Error Rate),螢幕刷新率,C,錯誤率均衡檢測不同群體是否公平。,2,"[""正義"", ""公平""]"
L11102-Q030,L11,L11102,AI治理概念,使用 LIME 解釋模型時，LIME 的主要策略是？,隨機森林,全域梯度分析,訓練新模型,局部線性近似,D,LIME 對單一樣本周邊建立近似線性模型。,2,"[""LIME""]"
L11102-Q031,L11,L11102,AI治理概念,下列哪一項與 AI 治理中『冗餘機制 (Redundancy)』概念最符合？,刪除備援伺服器,多模型投票降低單點失效,關閉 GPU,減少日誌,B,Redundancy 透過多樣方法增加可靠性。,2,"[""冗餘"", ""可靠性""]"
L11102-Q032,L11,L11102,AI治理概念,『模型卡 (Model Card)』主要用來？,提供模型用途、限制與評估資訊,展示 GPU 溫度,生成 QR Code,設定按鈕樣式,A,Model Card 提升透明度與負責任使用。,2,"[""Model Card""]"
L11102-Q033,L11,L11102,AI治理概念,矯正 AI 偏見常用的後處理技術包括？,隨機初始化,批次正規化,閾值調整 (Thresholding),梯度裁剪,C,閾值調整可平衡敏感群體指標。,2,"[""偏見"", ""後處理""]"
L11102-Q034,L11,L11102,AI治理概念,『Shadow Model』在 AI 審計中的角色是？,生成影子圖像,增加推論速度,仿真生產模型行為以檢測洩漏,加密權重,C,用於 Membership Inference 等隱私評估。,2,"[""Shadow Model""]"
L11102-Q035,L11,L11102,AI治理概念,若 AI 系統涉及自動拒貸，根據 EU GDPR，使用者擁有要求 ______ 的權利。,退款保證,人工干預與解釋,免費硬體升級,隨時關閉銀行帳戶,B,GDPR Article 22 賦予人工干預權。,2,"[""拒貸"", ""GDPR""]"
L11102-Q036,L11,L11102,AI治理概念,風險導向 (Risk?Based) AI 監管框架的核心思想是？,依潛在危害程度採不同管控強度,全面禁止 AI,只監管硬體,僅要求開源,A,風險越高，要求越嚴格。,2,"[""Risk-based""]"
L11102-Q037,L11,L11102,AI治理概念,在 AI 資安 (Security) 管控中，對抗攻擊 (Adversarial Attack) 防護技術之一是？,關閉日誌,增大 learning rate,對抗訓練 (Adversarial Training),做資料壓縮,C,加入對抗樣本訓練增強魯棒性。,2,"[""Security"", ""Adversarial""]"
L11102-Q038,L11,L11102,AI治理概念,哈佛『道德機器人 (Moral Machine)』實驗主要探討 AI 的 ______ 議題。,資料壓縮,GPU 效率,UI 設計,道德抉擇與社會偏好,D,透過模擬駕車情境蒐集道德偏好。,2,"[""道德機器""]"
